;0
avocado;9.950371138434978
tibco;7.242320937332768
till;6.189171022741416
interview;5.632883024898668
bau;5.484463019780395
synolog;4.975185569217489
appasur;4.975185569217489
c;4.719262521580392
vlociti;4.425879424883434
webbi;4.425879424883434
cryptographi;4.425879424883434
istqb;4.2820383886575435
interpro;4.2820383886575435
m;3.8765732805493793
backfil;3.8765732805493793
siebel;3.8765732805493793
freelanc;3.8238930227204664
copper;3.776237932818304
backup;3.4529243503557776
mainfram;3.365747656783389
certifi;3.3272671362153248
advert;3.316790379478326
sitecor;3.309083314129887
skype;3.2745868783864114
vic;3.242317617817626
bonu;3.143404746152666
radiolog;3.085741319291677
mdu;3.085741319291677
superstream;3.085741319291677
adm;3.085741319291677
deveop;3.085741319291677
datapow;3.085741319291677
tririga;3.085741319291677
start;3.080317726636853
qa;3.060864870972942
microservic;2.980693545935352
bhp;2.950586283255623
secop;2.950586283255623
sso;2.950586283255623
today;2.9364168472646295
android;2.9364168472646295
sa;2.9116183766949435
princip;2.8879919342696705
etl;2.8803581982042763
l;2.871112966478079
devevelop;2.8429631824099935
up;2.8368525097094617
openshift;2.7803110753336258
contact;2.7718259455853627
week;2.736517161978386
